NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
408928	Hsp90	heat shock protein 90	PROTEIN_CODING			NC_037644.1	9550759	9553976
550932	Argk	arginine kinase	PROTEIN_CODING	39041	NCBI Ortholog	NC_037652.1	2505071	2528532
552127	Dcr-1	endoribonuclease Dicer-1	PROTEIN_CODING	42693	NCBI Ortholog	NC_037642.1	10966578	10975700
751102	Tbh	tyramine beta hydroxylase	PROTEIN_CODING	31718	NCBI Ortholog	NC_037640.1	8154279	8161115
732497	Mir210	microRNA mir-210	ncRNA			NC_037639.1	14416134	14416218
100049572	Ks-1	Ks-1 non-coding nuclear RNA	ncRNA			NC_037638.1	15831228	15848759
406098	IF-2mt	translation initiation factor 2	PROTEIN_CODING	43382	NCBI Ortholog	NC_037642.1	7347718	7351983
725126	Dsx	doublesex	PROTEIN_CODING	40940	NCBI Ortholog	NC_037642.1	3529523	3620990
726445	Gpdh	glycerol-3-phosphate dehydrogenase	PROTEIN_CODING	33824	NCBI Ortholog	NC_037646.1	2849683	2862544
751098	Glob1	globin 1	PROTEIN_CODING	41930	NCBI Ortholog	NC_037638.1	1672100	1674611
406092	For	cGMP-dependent protein kinase foraging	PROTEIN_CODING	44817	NCBI Ortholog	NC_037650.1	10107902	10187775
406099	RpL32	ribosomal protein L32	PROTEIN_CODING	43573	NCBI Ortholog	NC_037648.1	10035231	10036482
406113	Eaat-2	excitatory amino acid transporter 2	PROTEIN_CODING			NC_037639.1	12135342	12138725
408423	Foxp	FoxP protein	PROTEIN_CODING	41182	NCBI Ortholog	NC_037650.1	5292251	5526825
408758	E74	ecdysteroid-regulated gene E74	PROTEIN_CODING	39962	NCBI Ortholog	NC_037640.1	3327213	3476366
409012	brp	bruchpilot	PROTEIN_CODING	35977	NCBI Ortholog	NC_037646.1	8552456	8606318
410435	5-HT1	serotonin receptor	PROTEIN_CODING			NC_037650.1	4679854	4786005
411045	GstS4	glutathione S-transferase S4	PROTEIN_CODING			NC_037641.1	5016633	5017794
678674	LOC678674	venom allergen Api m 6	PROTEIN_CODING			NC_037653.1	6000001	6000807
725195	tra2	transformer-2 sex-determining protein	PROTEIN_CODING			NC_037648.1	10535463	10538991
732491	Mir1-1	microRNA mir-1-1	ncRNA			NC_037653.1	5313865	5313947
406144	LOC406144	abaecin	PROTEIN_CODING			NC_037647.1	12267100	12267965
724456	Msx	homeobox protein Msx	PROTEIN_CODING			NC_037638.1	15541180	15561401
100315676	Mir932	microRNA mir-932	ncRNA			NC_037638.1	24906936	24907035
406150	Glurb	metabotropic glutamate receptor B	PROTEIN_CODING			NC_037650.1	7387213	7644067
732492	Mir12	microRNA mir-12	ncRNA			NC_037639.1	4840914	4840996
406095	SP34	serine protease 34	PROTEIN_CODING			NC_037650.1	1214735	1218357
406148	nAChRa7	nicotinic acetylcholine receptor alpha7 subunit	PROTEIN_CODING			NC_037651.1	1798027	2042183
406153	nAChRa2	nicotinic acetylcholine receptor alpha2 subunit	PROTEIN_CODING	42919	NCBI Ortholog	NC_037646.1	8003004	8006857
410670	Pka-C2	cAMP-dependent protein kinase 2	PROTEIN_CODING					
412740	LCCH3	ligand-gated chloride channel homolog 3	PROTEIN_CODING	32554	NCBI Ortholog	NC_037646.1	1324939	1338281
724047	Mad	MAX dimerization protein	PROTEIN_CODING			NC_037652.1	951021	1360467
724777	CPR14	cuticular protein 14	PROTEIN_CODING			NC_037639.1	2994710	3003825
726302	LOC726302	alpha-protein kinase 1	PROTEIN_CODING			NC_037652.1	6242503	6270428
726702	5-ht7	serotonin receptor 7	PROTEIN_CODING	43669	NCBI Ortholog	NC_037643.1	633583	1032488
409798	Fabp	FABP-like protein	PROTEIN_CODING			NC_037638.1	5372582	5374100
100315670	Mir79	microRNA mir-79	ncRNA			NC_037652.1	7426925	7427024
409873	Mrjp9	major royal jelly protein 9	PROTEIN_CODING			NC_037648.1	2321827	2325880
732510	Mir7	microRNA mir-7	ncRNA			NC_037646.1	8761586	8761672
406142	LOC406142	hymenoptaecin	PROTEIN_CODING			NC_037643.1	2367078	2368717
410197	Cry2	cryptochrome 2	PROTEIN_CODING	35322	NCBI Ortholog	NC_037647.1	9884663	9893215
413397	Def2	defensin 2	PROTEIN_CODING			NC_037653.1	5139659	5140578
406106	Pkc	protein kinase C	PROTEIN_CODING	48311	NCBI Ortholog	NC_037648.1	16105584	16127257
410066	GlnS	glutamine synthetase	PROTEIN_CODING	32087	NCBI Ortholog	NC_037643.1	16823113	16843347
411303	nAChRa9	nicotinic acetylcholine receptor alpha9 subunit	PROTEIN_CODING			NC_037646.1	11044376	11046966
725384	Or2	odorant receptor 2	PROTEIN_CODING	40650	NCBI Ortholog	NC_037638.1	5723757	5749095
104794318	Mir2765	microRNA mir-2765	ncRNA			NC_037646.1	6505971	6506059
104796774	Mir6005	microRNA mir-6005	ncRNA			NC_037643.1	7176400	7176562
408273	Y-y	yellow-y	PROTEIN_CODING			NC_037647.1	11506149	11513111
551388	Akhr	adipokinetic hormone receptor	PROTEIN_CODING	33942	NCBI Ortholog	NC_037638.1	4491818	4495954
406122	Arp1	actin related protein 1	PROTEIN_CODING			NC_037644.1	12424728	12428682
410478	nAChRb1	nicotinic acetylcholine receptor beta1 subunit	PROTEIN_CODING	38545	NCBI Ortholog	NC_037651.1	2060339	2062681
494510	Apid22	apidaecin type 22	PROTEIN_CODING					
551010	nAChRa6	nicotinic acetylcholine receptor alpha6 subunit	PROTEIN_CODING	34304	NCBI Ortholog	NC_037639.1	3499710	3849609
100049551	Burs	bursicon subunit alpha	PROTEIN_CODING	42560	NCBI Ortholog	NC_037643.1	16324630	16326359
100315660	Mir13a	microRNA mir-13a	ncRNA			NC_037638.1	139678	139777
411166	Kr	krueppel	PROTEIN_CODING			NC_037643.1	9187234	9201351
732513	Mir9b	microRNA mir-9b	ncRNA			NC_037652.1	7426936	7427027
406127	Uvop	ultraviolet-sensitive opsin	PROTEIN_CODING	42398	NCBI Ortholog	NC_037647.1	348052	351075
410209	Hb	hunchback	PROTEIN_CODING			NC_037647.1	9348067	9350007
724771	Fibroin1	silk fibroin 1	PROTEIN_CODING			NC_037649.1	3896979	3897980
100037419	Apd-3	apidermin 3	PROTEIN_CODING			NC_037641.1	4479531	4480371
100629118	Mir965	microRNA mir-965	ncRNA			NC_037649.1	8670265	8670351
406149	Mrjp6	major royal jelly protein 6	PROTEIN_CODING			NC_037648.1	2286675	2289715
409003	NLG-3	neuroligin 3	PROTEIN_CODING	40912	NCBI Ortholog	NC_037646.1	8846893	9096263
409376	Y-f	yellow-f	PROTEIN_CODING			NC_037653.1	7211382	7214844
409555	Mrjp7	major royal jelly protein 7	PROTEIN_CODING			NC_037648.1	2307856	2311141
411057	Cyp314a1	cytochrome P450 314A1	PROTEIN_CODING	39592	NCBI Ortholog	NC_037642.1	13661266	13666787
411321	NLG-4	neuroligin 4	PROTEIN_CODING	42402	NCBI Ortholog	NC_037646.1	9180431	9465219
100315656	Mirlet7	microRNA let-7	ncRNA			NC_037645.1	7660424	7660523
100315665	Mir283	microRNA mir-283	ncRNA			NC_037639.1	4842179	4842278
100315672	Mir92a	microRNA mir-92a	ncRNA			NC_037652.1	7596003	7596102
410032	Trxr-1	thioredoxin reductase 1	PROTEIN_CODING	31760	NCBI Ortholog	NC_037638.1	5454493	5460515
732499	Mir263a	microRNA mir-263a	ncRNA			NC_037647.1	6351251	6351341
408611	Stip	Sip1/TFIP11 interacting protein	PROTEIN_CODING	44238	NCBI Ortholog	NC_037638.1	6843898	6854814
732495	Mir133	microRNA mir-133	ncRNA			NC_037653.1	5513967	5514055
732501	Mir277	microRNA mir-277	ncRNA			NC_037642.1	7059402	7059485
100315658	Mir100	microRNA mir-100	ncRNA			NC_037645.1	7661064	7661163
100315659	Mir137	microRNA mir-137	ncRNA			NC_037651.1	5815644	5815743
100315666	Mir31a	microRNA mir-31a	ncRNA			NC_037645.1	6292012	6292111
100315673	Mir927a	microRNA mir-927a	ncRNA			NC_037645.1	8501712	8501811
406086	Dl	dorsal	PROTEIN_CODING			NC_037641.1	11095375	11108126
409372	crh-BP	corticotropin releasing hormone binding protein	PROTEIN_CODING	43614	NCBI Ortholog	NC_037645.1	2187253	2195465
409889	AGLU2	alpha glucosidase 2	PROTEIN_CODING			NC_037643.1	4618778	4626779
409943	Ip3k	inositol 1,4,5-triphosphate kinase	PROTEIN_CODING	32285	NCBI Ortholog	NC_037648.1	15387094	15399562
410309	E75	ecdysone-induced protein 75	PROTEIN_CODING			NC_037648.1	10210607	10372038
411768	HsTRPA	hymenoptera-specific transient receptor potential cation channel, subfamily A	PROTEIN_CODING					
412427	aub	aubergine	PROTEIN_CODING			NC_037651.1	6757308	6763932
449496	JHBP-1	take-out-like carrier protein	PROTEIN_CODING			NC_037644.1	1964713	1971819
552255	Br-c	broad-complex	PROTEIN_CODING	44505	NCBI Ortholog	NC_037650.1	3298951	3357708
552391	A4	apolipophorin-III-like protein	PROTEIN_CODING			NC_037639.1	15188032	15188900
726182	Vhdl	larval-specific very high density lipoprotein	PROTEIN_CODING			NC_037650.1	4309579	4315590
726946	NFRKB	nuclear factor related to kappaB binding protein	PROTEIN_CODING	41072	NCBI Ortholog	NC_037648.1	15399554	15406012
732502	Mir278	microRNA mir-278	ncRNA			NC_037645.1	12508871	12508962
732504	Mir282	microRNA mir-282	ncRNA			NC_037651.1	8255134	8255225
408605	Hsc70-5	heat shock protein cognate 5	PROTEIN_CODING	36583	NCBI Ortholog	NC_037638.1	26843272	26847829
409587	Hsc70-3	heat shock 70 kDa protein cognate 3	PROTEIN_CODING	32133	NCBI Ortholog	NC_037640.1	3212644	3216513
724137	NLG-5	neuroligin 5	PROTEIN_CODING			NC_037646.1	7168675	7392172
100174948	H	hairless	PROTEIN_CODING	42445	NCBI Ortholog	NC_037642.1	9573403	9576252
100315661	Mir14	microRNA mir-14	ncRNA			NC_037648.1	2869218	2869317
100629005	Mir3049	microRNA mir-3049	ncRNA			NC_037644.1	3413464	3413583
408540	Tpx-3	thioredoxin peroxidase 3	PROTEIN_CODING			NC_037652.1	4365484	4366905
409097	MsrA	methionine sulphoxide reductase A	PROTEIN_CODING	39675	NCBI Ortholog	NC_037638.1	24242210	24245935
409490	GstD1	glutathione S-transferase D1	PROTEIN_CODING			NC_037652.1	9011536	9016677
494523	Gtpx1	glutathione peroxidase-like 1	PROTEIN_CODING			NC_037638.1	15149964	15153267
732496	Mir184	microRNA mir-184	ncRNA			NC_037650.1	3593330	3593421
732505	Mir2-1	microRNA mir-2-1	ncRNA			NC_037638.1	139117	139205
494522	c-mos	mos protein	PROTEIN_CODING	36404	NCBI Ortholog	NC_037648.1	2801760	2803164
551233	FAR1	fatty acyl-CoA reductase 1	PROTEIN_CODING	36860	NCBI Ortholog	NC_037649.1	7986263	8012699
551643	Tret1	trehalose transporter 1	PROTEIN_CODING			NC_037638.1	14292090	14310767
678510	Gb15078	GB15078 protein	PROTEIN_CODING			NC_037645.1	8615914	8617479
100315667	Mir33	microRNA mir-33	ncRNA			NC_037638.1	25060236	25060335
100315686	Mir29b	microRNA mir-29b	ncRNA			NC_037645.1	7204475	7204574
406119	Cryl1	lambda crystallin-like protein	PROTEIN_CODING	32592	NCBI Ortholog	NC_037649.1	5226279	5228675
406120	RpLP1	ribosomal protein LP1	PROTEIN_CODING	33214	NCBI Ortholog	NC_037647.1	10324175	10325596
408804	LOC408804	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	PROTEIN_CODING			NC_037641.1	8940540	9048511
409779	Fstl5	follistatin-like 5	PROTEIN_CODING			NC_037649.1	5142711	5200562
413254	Twi	twist	PROTEIN_CODING	37655	NCBI Ortholog	NC_037645.1	2378246	2388002
551077	C1q-VP	C1q-like venom protein	PROTEIN_CODING			NC_037651.1	4639395	4644517
551367	Apd-1	apidermin 1	PROTEIN_CODING			NC_037641.1	4486092	4488233
552281	Grp	glycine-rich cuticle protein	PROTEIN_CODING	44790	NCBI Ortholog	NC_037646.1	1013770	1017473
692346	Tert	telomerase reverse transcriptase	PROTEIN_CODING			NC_037639.1	2033858	2037192
727161	Apd-2	apidermin 2	PROTEIN_CODING			NC_037641.1	4488750	4490029
732514	Miriab-4	microRNA mir-iab-4	ncRNA			NC_037653.1	3476152	3476236
100629024	Mir3785	microRNA mir-3785	ncRNA			NC_037647.1	8678788	8678913
100629039	Mir2796	microRNA mir-2796	ncRNA			NC_037641.1	9019741	9019868
100629107	Mir927b	microRNA mir-927b	ncRNA			NC_037652.1	2980084	2980197
100629112	Mir3730	microRNA mir-3730	ncRNA			NC_037642.1	7059990	7060083
408379	TpnCIIIa	troponin C type IIIa	PROTEIN_CODING			NC_037649.1	6987747	6989639
412484	Pgrp-s2	peptidoglycan recognition protein S2	PROTEIN_CODING			NC_037650.1	8698178	8700676
406065	Wat	worker-enriched antennal transcript	PROTEIN_CODING	42873	NCBI Ortholog	NC_037652.1	5361890	5382720
408689	Fabp	fatty acid binding protein	PROTEIN_CODING	3772232	NCBI Ortholog	NC_037639.1	11346241	11349798
408726	Cpap3-b	cuticular protein analogous to peritrophins 3-B	PROTEIN_CODING	34336	NCBI Ortholog	NC_037640.1	12741992	12744749
408786	Dscam	Down syndrome cell adhesion molecule	PROTEIN_CODING	35652	NCBI Ortholog	NC_037641.1	11822386	11882760
410065	Cpap3-d	cuticular protein analogous to peritrophins 3-D	PROTEIN_CODING			NC_037640.1	12203358	12209166
724845	eve	segmentation protein even-skipped	PROTEIN_CODING			NC_037651.1	1545762	1551144
726676	cad	homeotic protein caudal	PROTEIN_CODING			NC_037638.1	7941395	7951326
100315657	Mir10	microRNA mir-10	ncRNA			NC_037653.1	4243330	4243429
100315663	Mir275	microRNA mir-275	ncRNA			NC_037641.1	11143118	11143217
100315664	Mir279a	microRNA mir-279a	ncRNA			NC_037642.1	11449951	11450050
100315668	Mir34	microRNA mir-34	ncRNA			NC_037642.1	7064058	7064157
104794314	Mir6000a	microRNA mir-6000a	ncRNA			NC_037648.1	13615779	13615876
104794317	Mir6004	microRNA mir-6004	ncRNA			NC_037642.1	7591626	7591713
104796773	Mir6001	microRNA mir-6001	ncRNA			NC_037650.1	4314734	4314801
104797443	Mir6006	microRNA mir-6006	ncRNA			NC_037646.1	1463358	1463445
550618	Dh-I	diuretic hormone-I	PROTEIN_CODING					
732507	Mir305	microRNA mir-305	ncRNA			NC_037641.1	11143351	11143440
732509	Mir317	microRNA mir-317	ncRNA			NC_037642.1	7037216	7037305
732515	bantam	microRNA bantam	ncRNA			NC_037651.1	10404334	10404420
100315680	Mir92b-1	microRNA mir-92b-1	ncRNA			NC_037646.1	8671929	8672022
100315684	Mir316	microRNA mir-316	ncRNA			NC_037647.1	3098807	3098892
406123	Psq	pipsqueak	PROTEIN_CODING			NC_037646.1	10864307	10891001
410798	Dnmt3	DNA methyltransferase 3	PROTEIN_CODING			NC_037639.1	15816211	15827587
412747	Ripk5	receptor interacting protein kinase 5	PROTEIN_CODING			NC_037650.1	5529458	5551753
724588	Fuctb	alpha1,3-fucosyltransferase B	PROTEIN_CODING					
724797	Fuctc	alpha-(1,3)-fucosyltransferase C	PROTEIN_CODING					
725790	IR-2	insulin receptor 2	PROTEIN_CODING					
725827	InR-2	insulin-like receptor-like	PROTEIN_CODING			NC_037639.1	14542801	14593835
732508	Mir315	microRNA mir-315	ncRNA			NC_037639.1	10406537	10406618
104794335	Mir6037	microRNA mir-6037	ncRNA			NC_037639.1	9360681	9360767
104794337	Mir252b	microRNA mir-252b	ncRNA			NC_037652.1	6567340	6567418
104794340	Mir6044	microRNA mir-6044	ncRNA			NC_037642.1	6898759	6898836
104794341	Mir6045	microRNA mir-6045	ncRNA			NC_037639.1	6042045	6042122
104794343	Mir6047a	microRNA mir-6047a	ncRNA			NC_037640.1	301751	301825
104794344	Mir6048	microRNA mir-6048	ncRNA			NC_037645.1	1869896	1869990
104796780	Mir6039	microRNA mir-6039	ncRNA			NC_037638.1	14119636	14119723
104797444	Mir92c	microRNA mir-92c	ncRNA			NC_037652.1	7596195	7596276
409018	Para	sodium channel protein paralytic	PROTEIN_CODING	32619	NCBI Ortholog	NC_037646.1	6440200	6501762
724078	Stg-1	stargazin related protein STG-1	PROTEIN_CODING	318064	NCBI Ortholog	NC_037651.1	4915741	4937551
726450	LOC726450	nuclear hormone receptor FTZ-F1	PROTEIN_CODING	40045	NCBI Ortholog	NC_037638.1	91682	110399
406115	LOC406115	apidaecin	PROTEIN_CODING					
408430	LOC408430	voltage-dependent L-type calcium channel subunit beta-2	PROTEIN_CODING	34557	NCBI Ortholog	NC_037650.1	6241811	6325630
408764	Cac	cacophony	PROTEIN_CODING	32158	NCBI Ortholog	NC_037640.1	2388793	2526970
725124	cact1	NF-kappa-B inhibitor cactus 1	PROTEIN_CODING	34969	NCBI Ortholog	NC_037641.1	11569669	11576607
100192200	Fibroin2	silk fibroin 2	PROTEIN_CODING			NC_037649.1	3899624	3900553
100192202	Fibroin4	silk fibroin 4	PROTEIN_CODING			NC_037649.1	3904832	3905860
100315690	Mir13b	microRNA mir-13b	ncRNA			NC_037638.1	139337	139415
100629070	Mir3786	microRNA mir-3786	ncRNA			NC_037651.1	5203501	5203604
409224	Coq7	ubiquinone biosynthesis protein COQ7	PROTEIN_CODING	44007	NCBI Ortholog	NC_037642.1	9904790	9905480
409677	Cyp6as5	cytochrome P450 6AS5	PROTEIN_CODING			NC_037650.1	10715717	10720066
409948	Snf	U1 small nuclear ribonucleoprotein A	PROTEIN_CODING	31442	NCBI Ortholog	NC_037652.1	2810159	2811430
724143	nAChRa4	nicotinic acetylcholine receptor alpha4 subunit	PROTEIN_CODING	40521	NCBI Ortholog	NC_037644.1	7514673	7779460
724675	Cdc37	cell division cycle 37 homolog	PROTEIN_CODING	38232	NCBI Ortholog	NC_037639.1	9626329	9628819
725996	nAChRa3	nicotinic acetylcholine receptor alpha3 subunit	PROTEIN_CODING			NC_037642.1	12117944	12196914
726079	nAChRb2	nicotinic acetylcholine receptor beta2 subunit	PROTEIN_CODING			NC_037646.1	11041574	11043715
726214	nAChRa1	nicotinic acetylcholine receptor alpha1 subunit	PROTEIN_CODING	42918	NCBI Ortholog	NC_037646.1	8017278	8133795
732498	Mir219	microRNA mir-219	ncRNA			NC_037648.1	46330	46431
732500	Mir276	microRNA mir-276	ncRNA			NC_037644.1	10216900	10216983
100126690	Pban	pheromone biosynthesis-activating neuropeptide	PROTEIN_CODING			NC_037643.1	13159982	13161376
408450	GluCl	glutamate-gated chloride channel	PROTEIN_CODING	42350	NCBI Ortholog	NC_037651.1	5177026	5214539
408613	Syt1	synaptotagmin 1	PROTEIN_CODING	33473	NCBI Ortholog	NC_037638.1	5110754	5135245
409040	Hiscl1	histamine-gated chloride channel 1	PROTEIN_CODING	45910	NCBI Ortholog	NC_037639.1	6409564	6416225
410052	Syt20	synaptotagmin 20	PROTEIN_CODING			NC_037653.1	1767494	1778077
413803	Grd	GABA-gated ion channel	PROTEIN_CODING	39984	NCBI Ortholog	NC_037638.1	6428662	6469994
552785	pHCl	ligand-gated ion channel pHCl	PROTEIN_CODING	39730	NCBI Ortholog	NC_037652.1	7474679	7550203
100315662	Mir2-3	microRNA mir-2-3	ncRNA			NC_037638.1	139959	140058
100315669	Mir71	microRNA mir-71	ncRNA			NC_037638.1	140348	140447
100315671	Mir87-1	microRNA mir-87-1	ncRNA			NC_037650.1	9609758	9609857
100315674	Mir928	microRNA mir-928	ncRNA			NC_037648.1	15306959	15307058
100315675	Mir929	microRNA mir-929	ncRNA			NC_037652.1	6614159	6614258
